                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 0.5465,                0.47004,                  1.049,                0.95562,                0.87681,                0.93877,                0.76139,                0.73619,                0.53391,                0.93889,             0.00015612,             0.00015612,             0.00015612
                    152,                 0.4949,                0.40257,                 1.0126,                0.93865,                0.88696,                0.93953,                0.76277,                0.72044,                0.53208,                0.92861,             0.00014375,             0.00014375,             0.00014375
                    153,                0.49989,                0.38599,                 1.0276,                0.94172,                0.87823,                 0.9352,                0.76561,                0.71743,                0.51792,                0.92279,             0.00013138,             0.00013138,             0.00013138
                    154,                0.48678,                0.38231,                 1.0126,                0.94822,                0.86261,                0.93636,                0.76683,                  0.709,                0.51438,                0.92165,               0.000119,               0.000119,               0.000119
                    155,                0.48578,                0.37786,                  1.017,                0.94529,                0.87319,                0.93633,                0.76603,                0.71517,                 0.5168,                0.92647,             0.00010662,             0.00010662,             0.00010662
                    156,                0.47874,                0.37616,                 1.0129,                0.94478,                0.87319,                0.93819,                0.76486,                0.71595,                0.51216,                0.92014,              9.425e-05,              9.425e-05,              9.425e-05
                    157,                0.47287,                0.36763,                 1.0017,                0.94688,                0.87681,                0.93884,                0.76523,                0.70964,                0.50778,                0.91815,             8.1875e-05,             8.1875e-05,             8.1875e-05
                    158,                0.46895,                0.36418,                 1.0039,                0.95628,                0.87168,                0.93944,                0.76665,                 0.7041,                0.50617,                0.91913,               6.95e-05,               6.95e-05,               6.95e-05
                    159,                0.45878,                0.36051,                0.99462,                0.96015,                0.87293,                0.93917,                0.76814,                0.70488,                0.50143,                0.92554,             5.7125e-05,             5.7125e-05,             5.7125e-05
                    160,                0.47609,                0.38425,                 1.0114,                0.95758,                0.87681,                0.93931,                 0.7678,                0.70183,                0.49693,                0.92319,              4.475e-05,              4.475e-05,              4.475e-05
