                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92194,                 1.1627,                 1.2961,                0.88449,                0.69359,                0.80297,                0.59651,                 1.0113,                 1.0685,                 1.2015,              0.0015916,              0.0015916,              0.0015916
                     36,                0.92921,                 1.1618,                 1.3002,                 0.8611,                0.69565,                0.80705,                0.57697,                 1.0678,                 1.1179,                 1.2206,              0.0015793,              0.0015793,              0.0015793
                     37,                0.91377,                 1.1449,                 1.3028,                0.84753,                0.74275,                0.82962,                0.61205,                 1.0633,                   1.01,                 1.2182,              0.0015669,              0.0015669,              0.0015669
                     38,                0.87601,                  1.094,                 1.2638,                0.86164,                0.72201,                0.81272,                0.59786,                 1.0051,                 1.0643,                 1.1758,              0.0015545,              0.0015545,              0.0015545
                     39,                0.88778,                  1.102,                 1.2789,                0.82825,                0.78986,                0.83815,                0.62825,                0.97715,                0.98425,                 1.1744,              0.0015421,              0.0015421,              0.0015421
                     40,                0.87043,                   1.08,                 1.2704,                0.88776,                0.71645,                0.83468,                0.63257,                0.96667,                 1.0474,                 1.1182,              0.0015298,              0.0015298,              0.0015298
                     41,                0.89063,                 1.0855,                 1.2664,                0.88648,                0.73561,                0.85708,                0.65333,                0.93787,                0.93253,                 1.0798,              0.0015174,              0.0015174,              0.0015174
                     42,                0.87568,                 1.0448,                 1.2616,                0.86079,                0.78411,                0.86036,                0.63774,                0.94169,                0.93018,                 1.1117,               0.001505,               0.001505,               0.001505
                     43,                0.88662,                 1.0344,                 1.2581,                0.87867,                0.77536,                0.85002,                 0.6315,                0.99593,                0.91042,                 1.1621,              0.0014926,              0.0014926,              0.0014926
                     44,                0.85248,                 1.0259,                 1.2428,                0.80557,                0.75061,                0.82728,                0.60449,                 1.0292,                 1.0432,                 1.1893,              0.0014803,              0.0014803,              0.0014803
                     45,                0.84659,                 1.0174,                 1.2452,                 0.9061,                0.71739,                0.82144,                0.62201,                0.97989,                 1.0163,                  1.132,              0.0014679,              0.0014679,              0.0014679
                     46,                0.84801,                 1.0119,                 1.2428,                0.90652,                0.79348,                0.86928,                  0.661,                0.95422,                0.83759,                  1.093,              0.0014555,              0.0014555,              0.0014555
                     47,                0.83646,                0.98687,                 1.2302,                0.90864,                0.79277,                0.88055,                0.68195,                0.89204,                 0.8063,                 1.0587,              0.0014431,              0.0014431,              0.0014431
                     48,                0.83319,                0.97612,                 1.2272,                0.85712,                0.76449,                0.85159,                0.62233,                0.99809,                0.94191,                  1.163,              0.0014307,              0.0014307,              0.0014307
                     49,                0.85422,                0.99488,                 1.2443,                0.93867,                0.72101,                0.85482,                0.64075,                0.95342,                0.92781,                 1.1367,              0.0014184,              0.0014184,              0.0014184
                     50,                0.82707,                0.97032,                 1.2222,                0.91234,                0.76449,                0.85548,                0.63464,                0.97077,                0.91085,                  1.147,               0.001406,               0.001406,               0.001406
                     51,                0.82421,                0.95355,                 1.2157,                0.91315,                0.80072,                0.87456,                0.67328,                0.90332,                0.81437,                 1.0662,              0.0013936,              0.0013936,              0.0013936
                     52,                0.81133,                0.95525,                 1.2196,                0.93353,                0.76334,                0.86249,                0.65646,                0.90663,                0.86385,                 1.0821,              0.0013813,              0.0013813,              0.0013813
                     53,                0.81059,                0.94594,                 1.2105,                0.91113,                 0.7971,                0.88511,                0.67193,                0.89952,                0.87632,                 1.0489,              0.0013689,              0.0013689,              0.0013689
                     54,                0.80648,                 0.9404,                 1.2104,                0.92713,                0.78363,                0.85783,                0.63807,                0.96291,                 0.8934,                   1.11,              0.0013565,              0.0013565,              0.0013565
                     55,                0.79655,                0.91306,                 1.2029,                0.90089,                0.82332,                 0.8875,                0.67895,                0.88154,                0.77755,                 1.0576,              0.0013441,              0.0013441,              0.0013441
                     56,                0.79664,                0.91716,                 1.1939,                0.95169,                0.78261,                0.88688,                0.68462,                0.90756,                0.80902,                 1.0473,              0.0013318,              0.0013318,              0.0013318
                     57,                0.78835,                0.89775,                 1.2029,                0.93081,                0.77985,                0.88559,                0.66913,                0.93111,                0.80172,                 1.0859,              0.0013194,              0.0013194,              0.0013194
                     58,                0.77624,                0.89897,                 1.1932,                0.89674,                0.84959,                0.89094,                0.68751,                 0.8976,                0.74914,                 1.0665,               0.001307,               0.001307,               0.001307
                     59,                0.78243,                0.88476,                 1.1892,                0.95337,                0.78261,                0.88926,                0.67369,                0.93037,                0.77836,                 1.1015,              0.0012946,              0.0012946,              0.0012946
                     60,                0.78339,                0.86779,                 1.1928,                0.94807,                 0.7971,                0.89568,                0.67842,                0.90085,                0.80476,                 1.0803,              0.0012822,              0.0012822,              0.0012822
                     61,                0.75836,                0.86642,                 1.1804,                0.96482,                0.79495,                0.90016,                 0.6845,                0.94084,                0.72858,                 1.1035,              0.0012699,              0.0012699,              0.0012699
                     62,                0.77149,                0.87402,                 1.1897,                0.92628,                0.81948,                0.90702,                0.68847,                0.93508,                0.71368,                 1.0951,              0.0012575,              0.0012575,              0.0012575
                     63,                0.77021,                0.84865,                 1.1708,                0.91256,                0.84058,                0.91481,                0.70766,                0.84613,                0.70974,                 1.0158,              0.0012451,              0.0012451,              0.0012451
